viral-communications,True,"#design,#human-computer interaction,#artificial intelligence,#augmented reality,#bioengineering,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#economy,#entertainment,#extended intelligence,#government,#health,#human-machine interaction,#networks,#open source,#politics,#privacy,#social media,#systems,#wearable computing,#sensors,#interfaces,#social science,#machine learning,#behavioral science,#affective computing,#blockchain,#archives,#history,#wellbeing,#civic media,#storytelling,#augmented reality,#communications,#networks,#data,#networks,#interfaces,#blockchain,#communications,#networks"
design-ecology,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#energy,#entertainment,#human-machine interaction,#kids,#learning,#music,#networks,#privacy,#wearable computing"
high-low-tech,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
digital-intuition,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
critical-computing,False,"#art,#consumer electronics,#entertainment,#networks,#politics,#storytelling"
machine-understanding,False,
development,True,
gray-matters,False,
visible-language-workshop,False,"#architecture,#art,#artificial intelligence,#consumer electronics,#entertainment,#human-machine interaction,#learning,#networks,#politics,#storytelling"
ipid,False,
edevelopment,False,
broadercasting,False,
context-aware-computing,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#wearable computing"
interactive-cinema,False,"#architecture,#art,#consumer electronics,#entertainment,#music,#networks,#storytelling,#transportation"
nanoscale-sensing,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#wearable computing"
architecture-machine-group,False,"#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#entertainment,#human-machine interaction,#learning,#storytelling,#transportation"
information-ecology,False,"#robotics,#human-computer interaction,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing,#affective computing,#computer science"
next,False,"#robotics,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#wearable computing"
counter-intelligence,False,"#architecture,#consumer electronics,#economy,#entertainment,#human-machine interaction,#politics"
e-markets,False,"#robotics,#human-computer interaction,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#kids,#learning"
center-for-terrestrial-sensing,False,
center-for-future-banking,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#neurobiology,#perception,#pharmaceuticals,#politics,#privacy,#storytelling,#transportation,#wearable computing,#sensors,#interfaces,#networking,#social science"
ce-21,False,
future-storytelling-2,False,
quanta,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#wearable computing,#computer science,#engineering"
consumer-electronics-laboratory,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
ultimate-media-2,False,
social-health-living-laboratory,False,
future-of-learning-2,False,
physical-language-workshop,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing"
x-reality-working-group,False,
commonsense-computing,False,"#robotics,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#human-machine interaction,#kids,#learning,#music"
autism-communication-technology-initiative,True,
digital-life,True,
ce-20,True,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing,#agriculture"
connection-science,True,"#artificial intelligence,#data"
center-for-bits-and-atoms-1,True,"#architecture,#art,#artificial intelligence,#bioengineering,#civic technology,#cognition,#consumer electronics,#developing countries,#economy,#human-machine interaction,#kids,#learning,#manufacturing,#networks,#politics,#transportation,#3d printing ,#architecture,#transportation"
center-for-mobile-learning,True,"#consumer electronics,#developing countries,#economy,#learning,#wearable computing"
object-based-media,True,"#robotics,#design,#computer vision,#human-computer interaction,#agriculture,#architecture,#art,#augmented reality,#bioengineering,#cognition,#communications,#consumer electronics,#economy,#entertainment,#environment,#fashion,#health,#holography,#human-machine interaction,#music,#storytelling,#sensors,#imaging,#interfaces,#3d printing ,#makers,#archives,#data visualization,#engineering,#history,#gesture interface,#design,#3d printing ,#imaging,#data,#fashion,#kids,#learning,#agriculture,#consumer electronics,#holography,#consumer electronics,#storytelling,#interfaces,#design,#interfaces,#behavioral science"
social-computing,False,"#design,#art,#environment,#health,#kids,#learning,#transportation,#urban planning,#sensors,#blockchain,#internet of things,#art,#learning,#design,#data,#storytelling,#data,#urban planning,#mapping,#kids,#learning,#learning"
playful-systems,False,"#art,#consumer electronics,#crowdsourcing,#entertainment,#environment,#gaming,#health,#kids,#learning,#networks,#social media,#storytelling,#social science,#gaming"
sculpting-evolution,True,"#bioengineering,#civic technology,#crowdsourcing,#ecology,#environment,#genetics,#health,#kids,#learning,#synthetic biology,#ethics,#trust,#engineering,#genetics,#bioengineering,#genetics,#bioengineering,#crowdsourcing,#environment"
silicon-biology,False,
operations-and-strategy,True,
toys-of-tomorrow,False,
digital-nations,False,"#art,#consumer electronics,#developing countries,#economy,#entertainment"
simplicity,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing"
changing-places-consortium,True,
electronic-publishing,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#wearable computing"
advancing-wellbeing,True,"#design,#virtual reality,#human-computer interaction,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#data,#economy,#energy,#entertainment,#gaming,#health,#human-machine interaction,#kids,#learning,#music,#politics,#sensors,#interfaces,#social science,#machine learning,#behavioral science,#social robotics,#long-term interaction ,#affective computing,#wellbeing,#data,#wearable computing,#behavioral science,#data,#health,#health,#wearable computing,#machine learning,#wellbeing,#health,#robotics,#design,#virtual reality,#data,#health,#machine learning,#health,#health,#health,#wearable computing,#design,#fashion,#perception,#wearable computing,#health,#wearable computing,#affective computing,#health"
visiting-appointments,False,"#architecture,#human-machine interaction,#politics"
center-for-civic-media,True,"#robotics,#design,#computer vision,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#civic media,#civic technology,#cognition,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#energy,#entertainment,#environment,#government,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#social media,#storytelling,#systems,#transportation,#wearable computing,#social science,#machine learning,#behavioral science,#blockchain,#ethics,#computer science,#data visualization,#civic media,#civic technology,#communications,#politics"
design-fiction,False,"#design,#art,#bioengineering,#civic media,#civic technology,#fashion,#genetics,#storytelling,#synthetic biology,#ethics,#computer science"
computing-culture,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#wearable computing"
music-mind-and-machine,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#wearable computing"
aesthetics-computation,False,
nanomedia,False,
affiliates,True,#developing countries
chairmans-office,True,"#archives,#history,#wiesner"
health-0-0,True,"#computer vision,#artificial intelligence,#bioengineering,#health,#pharmaceuticals,#synthetic biology,#imaging,#machine learning,#primary healthcare,#public health,#engineering,#point of care,#clinical trials,#chemistry"
terrestrial-sensing,True,
code-next,True,"#design,#kids,#learning,#computer science,#makers,#kids,#learning,#computer science,#kids,#learning,#computer science"
ethics,True,"#human-computer interaction,#art,#artificial intelligence,#consumer electronics,#developing countries,#entertainment,#health,#kids,#learning,#ethics,#ethics,#learning,#ethics,#artificial intelligence,#cryptocurrency,#social science"
directors-fellows-program,True,"#agriculture,#bioengineering,#food,#open source"
spatial-imaging,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks"
smart-cities,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#transportation,#wearable computing,#engineering"
personal-information-architecture,False,
living-labs,False,
nomadic-displays,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#human-machine interaction,#kids,#learning,#music"
next-billion-network,False,"#consumer electronics,#developing countries,#economy,#health,#kids"
hundred-dollar-laptop,True,
sociable-media,False,"#robotics,#design,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#civic media,#cognition,#communications,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#perception,#politics,#privacy,#social media,#storytelling,#wearable computing,#networking,#social science,#archives,#history"
center-for-extreme-bionics,True,"#robotics,#bioengineering,#genetics,#health,#human-machine interaction,#neurobiology,#sports and fitness,#synthetic biology,#wearable computing,#biomechanics,#biotechnology,#prosthetics,#medicine,#bionics"
lifelong-kindergarten,True,"#robotics,#design,#human-computer interaction,#architecture,#art,#augmented reality,#civic technology,#communications,#consumer electronics,#data,#developing countries,#economy,#environment,#gaming,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#storytelling,#social science,#language learning,#computer science,#makers,#archives,#visualization,#engineering,#history,#design,#art,#gaming,#design,#gaming,#kids,#computer science,#kids,#learning,#storytelling,#design,#kids,#learning,#gaming,#kids,#learning,#gaming,#kids,#learning,#kids,#learning,#makers,#learning,#learning,#gaming,#kids,#learning,#design,#kids,#learning,#kids"
center-for-bits-and-atoms,False,"#robotics,#architecture,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#health,#human-machine interaction,#kids,#learning,#networks,#politics,#privacy,#computer science,#engineering"
pet-projects,False,
things-that-think,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#environment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing,#social science,#engineering"
physics-and-media,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#civic technology,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing"
new-media-medicine,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
future-of-learning,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#environment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing,#social science"
society-of-mind,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#wearable computing"
grassroots-invention,False,"#robotics,#architecture,#art,#artificial intelligence,#bioengineering,#consumer electronics,#developing countries,#entertainment,#environment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#social science"
emerging-worlds,False,"#art,#consumer electronics,#entertainment,#human-machine interaction,#networks,#social science"
future-storytelling,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#urban planning,#wearable computing,#agriculture"
pixel-factory,True,
signal-kinetics,True,"#robotics,#artificial intelligence,#communications,#health,#human-machine interaction,#networks,#security,#systems,#sensors,#interfaces,#networking,#internet of things,#autonomous vehicles,#health,#systems,#networking,#artificial intelligence,#augmented reality,#human-machine interaction,#systems,#networking,#autonomous vehicles,#artificial intelligence,#bioengineering,#health"
ml-learning,True,"#virtual reality,#agriculture,#cognition,#data,#health,#kids,#learning,#wearable computing,#interfaces,#social robotics,#long-term interaction ,#language learning,#ethics,#computer science,#makers,#space,#data visualization,#autism research,#learning,#social robotics,#virtual reality,#language learning,#learning,#learning,#open source,#cryptocurrency,#open source,#learning,#learning"
software-agents,False,"#robotics,#architecture,#art,#artificial intelligence,#banking and finance,#bioengineering,#cognition,#consumer electronics,#developing countries,#economy,#energy,#entertainment,#health,#human-machine interaction,#kids,#learning,#music,#networks,#politics,#privacy,#storytelling,#transportation,#wearable computing"
open-ocean,True,"#robotics,#virtual reality,#art,#augmented reality,#communications,#crowdsourcing,#data,#developing countries,#entertainment,#environment,#genetics,#human-machine interaction,#kids,#learning,#open source,#social media,#storytelling,#networking,#machine learning,#data visualization,#engineering,#ocean,#ocean,#ocean,#art,#augmented reality,#interfaces,#learning,#ocean,#robotics,#communications,#data"
tangible-media,True,"#robotics,#design,#virtual reality,#human-computer interaction,#architecture,#art,#artificial intelligence,#augmented reality,#cognition,#construction,#consumer electronics,#economy,#entertainment,#environment,#fashion,#food,#human-machine interaction,#manufacturing,#music,#politics,#social media,#synthetic biology,#wearable computing,#sensors,#imaging,#interfaces,#3d printing ,#social science,#space,#biology,#biomechanics,#archives,#biotechnology,#engineering,#history,#gesture interface,#internet of things,#zero gravity,#physiology,#design,#sensors,#fashion,#sensors,#biology,#human-machine interaction,#interfaces,#3d printing ,#human-machine interaction,#human-machine interaction"
ethics-and-governance,True,"#artificial intelligence,#government,#human-machine interaction,#machine learning,#ethics,#artificial intelligence,#government,#ethics,#artificial intelligence,#government,#machine learning"
community-bio,True,"#design,#art,#bioengineering,#data,#economy,#politics,#synthetic biology,#ethics,#biotechnology,#biotechnology,#data,#bioengineering,#synthetic biology,#biotechnology,#design,#bioengineering,#politics,#design,#bioengineering,#politics"
digital-currency-initiative-dci,True,"#banking and finance,#cryptocurrency,#economy,#music,#networks,#open source,#privacy,#security,#blockchain,#trust,#performance,#music,#blockchain,#performance,#banking and finance,#blockchain,#banking and finance,#cryptocurrency,#open source,#blockchain,#banking and finance,#economy,#blockchain,#blockchain"
scalable-cooperation,True,"#artificial intelligence,#communications,#crowdsourcing,#data,#economy,#environment,#extended intelligence,#government,#human-machine interaction,#networks,#politics,#social media,#storytelling,#transportation,#urban planning,#imaging,#social science,#machine learning,#collective intelligence,#behavioral science,#social robotics,#blockchain,#ethics,#computer science,#trade,#climate change"
knowledge-futures,True,"#civic media,#communications,#open source"
open-agriculture-openag,True,"#robotics,#agriculture,#bioengineering,#data,#ecology,#energy,#environment,#food,#hacking,#health,#human-machine interaction,#open source,#urban planning,#sensors,#machine learning,#makers,#robotics,#artificial intelligence,#machine learning,#environment,#learning,#robotics,#agriculture,#data,#agriculture,#machine learning"
biomechatronics,True,"#robotics,#design,#human-computer interaction,#architecture,#bioengineering,#health,#human-machine interaction,#music,#neurobiology,#sports and fitness,#synthetic biology,#interfaces,#social robotics,#biomechanics,#biotechnology,#engineering,#wellbeing,#prosthetics,#medicine,#bionics,#neural interfacing and control,#soft-tissue biomechanics,#prosthetic design,#orthotic design,#organismal biomechanics and control,#clinical science,#bioengineering,#3d printing ,#biomechanics,#robotics,#computer science,#biomechanics,#health"
camera-culture,True,"#design,#computer vision,#art,#artificial intelligence,#bioengineering,#civic media,#civic technology,#cognition,#communications,#consumer electronics,#developing countries,#energy,#environment,#health,#human-machine interaction,#pharmaceuticals,#politics,#storytelling,#synthetic biology,#urban planning,#wearable computing,#sensors,#imaging,#interfaces,#member company,#machine learning,#computer science,#visualization,#public health,#engineering,#internet of things,#imaging,#imaging,#imaging,#imaging,#health,#bioengineering,#consumer electronics,#health,#imaging,#imaging,#health,#wearable computing,#computer vision,#sensors,#imaging"
ecology-media,False,
city-science,True,"#robotics,#design,#computer vision,#human-computer interaction,#architecture,#artificial intelligence,#augmented reality,#bioengineering,#civic technology,#construction,#cryptocurrency,#data,#developing countries,#energy,#environment,#extended intelligence,#hacking,#human-machine interaction,#kids,#learning,#manufacturing,#open source,#politics,#real estate,#transportation,#urban planning,#sensors,#interfaces,#machine learning,#behavioral science,#computer science,#makers,#mapping,#data visualization,#alumni,#engineering,#internet of things,#startup,#design,#computer vision,#human-computer interaction,#artificial intelligence,#civic technology,#cryptocurrency"
civic-media,True,"#design,#computer vision,#artificial intelligence,#augmented reality,#civic media,#civic technology,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#government,#hacking,#health,#holography,#learning,#networks,#open source,#politics,#social media,#storytelling,#systems,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#collective intelligence,#long-term interaction ,#blockchain,#ethics,#computer science,#makers,#mapping,#data visualization,#public health,#engineering,#civic media,#entertainment,#politics,#civic media,#data,#social media,#artificial intelligence,#civic media,#civic technology,#computer vision,#artificial intelligence,#civic media,#data,#networks,#data,#learning,#artificial intelligence,#civic media,#civic technology,#data,#networks,#interfaces,#civic technology,#civic technology,#data,#civic media,#artificial intelligence,#social media,#civic media,#civic technology,#civic media,#civic media,#data,#data visualization,#civic media,#social media,#civic media,#civic technology,#data,#learning,#data visualization,#civic technology,#consumer electronics,#politics"
collective-learning,True,"#design,#virtual reality,#computer vision,#human-computer interaction,#artificial intelligence,#civic media,#civic technology,#cognition,#communications,#data,#developing countries,#economy,#energy,#entertainment,#human-machine interaction,#learning,#member event,#networks,#politics,#privacy,#social media,#storytelling,#synthetic biology,#urban planning,#interfaces,#social science,#machine learning,#collective intelligence,#behavioral science,#computer science,#visualization,#data visualization,#design,#data,#data visualization,#data,#human-machine interaction,#interfaces,#urban planning,#computer vision,#civic technology,#urban planning,#data,#data,#civic technology,#data,#storytelling,#virtual reality,#data,#member event"
conformable-decoders,True,"#design,#architecture,#bioengineering,#construction,#energy,#health,#neurobiology,#wearable computing,#sensors,#biotechnology,#wellbeing,#physiology,#bioengineering,#health,#neurobiology,#bioengineering,#health,#sensors,#bioengineering,#health,#sensors,#bioengineering,#health,#sensors"
fluid-interfaces,True,"#robotics,#design,#virtual reality,#human-computer interaction,#architecture,#art,#artificial intelligence,#augmented reality,#cognition,#consumer electronics,#energy,#entertainment,#environment,#extended intelligence,#fashion,#health,#holography,#human-machine interaction,#kids,#learning,#manufacturing,#music,#perception,#wearable computing,#sensors,#interfaces,#3d printing ,#machine learning,#language learning,#affective computing,#computer science,#visualization,#alumni,#electrical engineering,#engineering,#gesture interface,#internet of things,#wellbeing,#physiology,#human augmentation,#startup,#human-machine interaction,#wearable computing,#interfaces,#augmented reality,#learning,#cognition,#consumer electronics,#human-machine interaction,#consumer electronics,#wearable computing,#interfaces,#design,#fashion,#perception,#virtual reality,#human-machine interaction,#sensors,#virtual reality,#augmented reality,#learning,#virtual reality,#language learning,#virtual reality,#augmented reality,#extended intelligence,#learning,#virtual reality,#sensors,#affective computing,#virtual reality,#artificial intelligence,#augmented reality,#virtual reality,#augmented reality,#art,#augmented reality,#consumer electronics,#interfaces,#virtual reality,#augmented reality,#environment,#virtual reality,#communications,#robotics,#human-computer interaction,#interfaces,#consumer electronics,#interfaces,#data,#health"
human-dynamics,True,"#robotics,#design,#art,#artificial intelligence,#banking and finance,#civic technology,#cognition,#communications,#consumer electronics,#crowdsourcing,#cryptocurrency,#data,#developing countries,#economy,#entertainment,#extended intelligence,#fashion,#government,#health,#human-machine interaction,#kids,#learning,#music,#networks,#open source,#perception,#politics,#privacy,#security,#social media,#systems,#transportation,#urban planning,#wearable computing,#sensors,#networking,#social science,#machine learning,#collective intelligence,#behavioral science,#social robotics,#nonverbal behavior,#blockchain,#ethics,#trust,#computer science,#mapping,#archives,#data visualization,#history,#wellbeing"
living-mobile,True,"#human-computer interaction,#art,#augmented reality,#bioengineering,#communications,#fashion,#human-machine interaction,#networks,#security,#storytelling,#wearable computing,#sensors,#interfaces,#social science,#archives,#data visualization,#history,#gesture interface,#robotics,#fashion,#human-machine interaction,#fashion,#wearable computing,#art,#fashion,#wearable computing,#fashion,#wearable computing,#human-machine interaction,#wearable computing"
affective-computing,True,"#robotics,#design,#virtual reality,#computer vision,#human-computer interaction,#architecture,#artificial intelligence,#bioengineering,#cognition,#communications,#consumer electronics,#economy,#fashion,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#synthetic biology,#urban planning,#wearable computing,#interfaces,#social science,#machine learning,#behavioral science,#social robotics,#affective computing,#computer science,#space,#biology,#biomechanics,#data visualization,#biotechnology,#electrical engineering,#gesture interface,#wellbeing,#autism research,#physiology,#human augmentation,#bionics,#health,#wearable computing,#machine learning,#data,#wearable computing,#behavioral science,#wellbeing,#human-machine interaction,#perception,#machine learning,#robotics,#cognition,#data,#crowdsourcing,#social media,#human-machine interaction,#music,#affective computing,#health,#wearable computing,#affective computing,#human-machine interaction,#music,#affective computing,#data,#health,#machine learning,#health,#wearable computing,#health,#wearable computing"
mediated-matter,True,"#robotics,#design,#architecture,#art,#bioengineering,#construction,#ecology,#environment,#health,#human-machine interaction,#manufacturing,#music,#storytelling,#synthetic biology,#interfaces,#3d printing ,#computer science,#biomechanics,#mechanical engineering,#biotechnology,#engineering,#prosthetics"
molecular-machines,True,"#artificial intelligence,#bioengineering,#genetics,#politics,#synthetic biology,#machine learning,#bioengineering,#genetics,#synthetic biology,#synthetic biology,#machine learning"
opera-of-the-future,True,"#robotics,#performance representation,#mapping system,#disembodied performance system,#performance systems,#onstage representation,#control system computer,#design,#architecture,#art,#artificial intelligence,#cognition,#consumer electronics,#crowdsourcing,#health,#human-machine interaction,#kids,#learning,#music,#neurobiology,#perception,#social media,#urban planning,#sensors,#social science,#social robotics,#performance,#biomechanics,#academia,#biotechnology,#engineering,#bionics,#art,#crowdsourcing,#music,#design,#art,#crowdsourcing,#design,#art,#music,#robotics,#music,#performance,#music,#sensors,#performance,#robotics,#music,#music,#performance,#music"
responsive-environments,True,"#robotics,#design,#human-computer interaction,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#communications,#consumer electronics,#cryptocurrency,#data,#ecology,#economy,#environment,#fashion,#health,#human-machine interaction,#learning,#music,#networks,#perception,#politics,#storytelling,#wearable computing,#sensors,#interfaces,#3d printing ,#social science,#machine learning,#social robotics,#nonverbal behavior,#blockchain,#computer science,#mapping,#space,#electrical engineering,#engineering,#wellbeing,#physiology,#architecture,#health,#wearable computing,#design,#fashion,#music,#networks,#sensors,#environment,#sensors,#data,#music,#networks,#fashion,#wearable computing,#environment,#sensors,#sensors,#design,#entertainment,#energy,#human-machine interaction,#sensors,#fashion,#wearable computing,#art,#learning,#storytelling,#architecture,#cognition,#environment"
personal-robots,True,"#robotics,#design,#human-computer interaction,#architecture,#art,#artificial intelligence,#bioengineering,#cognition,#data,#food,#health,#human-machine interaction,#kids,#learning,#music,#networks,#neurobiology,#storytelling,#urban planning,#interfaces,#social science,#machine learning,#social robotics,#nonverbal behavior,#long-term interaction ,#language learning,#affective computing,#ethics,#trust,#biomechanics,#biotechnology,#bionics,#robotics,#design,#human-computer interaction,#robotics,#artificial intelligence,#human-machine interaction,#interfaces,#social science,#social robotics,#robotics,#design,#human-machine interaction,#human-computer interaction,#cognition,#open source,#cognition,#consumer electronics,#human-machine interaction,#human-machine interaction,#learning,#interfaces,#artificial intelligence,#social robotics,#long-term interaction ,#robotics,#artificial intelligence,#cognition,#robotics,#kids,#learning,#robotics,#data,#learning"
